Symbol;Name
AAPL;Apple Inc. Common Stock
ABNB;Airbnb, Inc. Class A Common Stock
ADBE;Adobe Inc. Common Stock
ADI;Analog Devices, Inc. Common Stock
ADP;Automatic Data Processing, Inc. Common Stock
ADSK;Autodesk, Inc. Common Stock
AEP;American Electric Power Company, Inc. Common Stock
ALGN;Align Technology, Inc. Common Stock
AMAT;Applied Materials, Inc. Common Stock
AMD;Advanced Micro Devices, Inc. Common Stock
AMGN;Amgen Inc. Common Stock
AMZN;Amazon.com, Inc. Common Stock
ANSS;ANSYS, Inc. Common Stock
ASML;ASML Holding N.V. New York Registry Shares
ATVI;Activision Blizzard, Inc. Common Stock
AVGO;Broadcom Inc. Common Stock
BIDU;Baidu, Inc. ADS
BIIB;Biogen Inc. Common Stock
BKNG;Booking Holdings Inc. Common Stock
CDNS;Cadence Design Systems, Inc. Common Stock
CHTR;Charter Communications, Inc. Class A Common Stock New
CMCSA;Comcast Corporation Class A Common Stock
COST;Costco Wholesale Corporation Common Stock
CPRT;Copart, Inc. (DE) Common Stock
CRWD;CrowdStrike Holdings, Inc. Class A Common Stock
CSCO;Cisco Systems, Inc. Common Stock (DE)
CSX;CSX Corporation Common Stock
CTAS;Cintas Corporation Common Stock
CTSH;Cognizant Technology Solutions Corporation Class A Common Stock
DDOG;Datadog, Inc. Class A Common Stock
DLTR;Dollar Tree Inc. Common Stock
DOCU;DocuSign, Inc. Common Stock
DXCM;DexCom, Inc. Common Stock
EA;Electronic Arts Inc. Common Stock
EBAY;eBay Inc. Common Stock
EXC;Exelon Corporation Common Stock
FAST;Fastenal Company Common Stock
FB;Meta Platforms, Inc. Class A Common Stock
FISV;Fiserv, Inc. Common Stock
FTNT;Fortinet, Inc. Common Stock
GILD;Gilead Sciences, Inc. Common Stock
GOOG;Alphabet Inc. Class C Capital Stock
GOOGL;Alphabet Inc. Class A Common Stock
HON;Honeywell International Inc. Common Stock
IDXX;IDEXX Laboratories, Inc. Common Stock
ILMN;Illumina, Inc. Common Stock
INTC;Intel Corporation Common Stock
INTU;Intuit Inc. Common Stock
ISRG;Intuitive Surgical, Inc. Common Stock
JD;JD.com, Inc. American Depositary Shares
KDP;Keurig Dr Pepper Inc. Common Stock
KHC;The Kraft Heinz Company Common Stock
KLAC;KLA Corporation Common Stock
LCID;Lucid Group, Inc. Common Stock
LRCX;Lam Research Corporation Common Stock
LULU;lululemon athletica inc. Common Stock
MAR;Marriott International Class A Common Stock
MCHP;Microchip Technology Incorporated Common Stock
MDLZ;Mondelez International, Inc. Class A Common Stock
MELI;MercadoLibre, Inc. Common Stock
MNST;Monster Beverage Corporation
MRNA;Moderna, Inc. Common Stock
MRVL;Marvell Technology, Inc. Common Stock
MSFT;Microsoft Corporation Common Stock
MTCH;Match Group, Inc. Common Stock
MU;Micron Technology, Inc. Common Stock
NFLX;Netflix, Inc. Common Stock
NTES;NetEase, Inc. American Depositary Shares
NVDA;NVIDIA Corporation Common Stock
NXPI;NXP Semiconductors N.V. Common Stock
ODFL;Old Dominion Freight Line, Inc. Common Stock
OKTA;Okta, Inc. Class A Common Stock
ORLY;O'Reilly Automotive, Inc. Common Stock
PANW;Palo Alto Networks, Inc. Common Stock
PAYX;Paychex, Inc. Common Stock
PCAR;PACCAR Inc. Common Stock
PDD;Pinduoduo Inc. American Depositary Shares
PEP;PepsiCo, Inc. Common Stock
PYPL;PayPal Holdings, Inc. Common Stock
QCOM;QUALCOMM Incorporated Common Stock
REGN;Regeneron Pharmaceuticals, Inc. Common Stock
ROST;Ross Stores, Inc. Common Stock
SBUX;Starbucks Corporation Common Stock
SGEN;Seagen Inc. Common Stock
SIRI;Sirius XM Holdings Inc. Common Stock
SNPS;Synopsys, Inc. Common Stock
SPLK;Splunk Inc. Common Stock
SWKS;Skyworks Solutions, Inc. Common Stock
TEAM;Atlassian Corporation Plc Class A Ordinary Shares
TMUS;T-Mobile US, Inc. Common Stock
TSLA;Tesla, Inc. Common Stock
TXN;Texas Instruments Incorporated Common Stock
VRSK;Verisk Analytics, Inc. Common Stock
VRSN;VeriSign, Inc. Common Stock
VRTX;Vertex Pharmaceuticals Incorporated Common Stock
WBA;Walgreens Boots Alliance, Inc. Common Stock
WDAY;Workday, Inc. Class A Common Stock
XEL;Xcel Energy Inc. Common Stock
XLNX;Xilinx, Inc. Common Stock
ZM;Zoom Video Communications, Inc. Class A Common Stock
ZS;Zscaler, Inc. Common Stock
